datetime,start_code,end_code,KP,prediction,is_congestion
2023-06-13 00:00:00,0,1,9.425,0,0
2023-06-13 00:00:00,0,1,7.3,0,0
2023-06-13 00:00:00,0,1,5.47,0,0
2023-06-13 01:00:00,0,1,5.47,0,0
2023-06-13 01:00:00,0,1,9.425,0,0
2023-06-13 01:00:00,0,1,7.3,0,0
2023-06-13 02:00:00,0,1,9.425,0,0
2023-06-13 02:00:00,0,1,7.3,0,0
2023-06-13 02:00:00,0,1,5.47,0,0
2023-06-13 03:00:00,0,1,7.3,0,0
2023-06-13 03:00:00,0,1,5.47,0,0
2023-06-13 03:00:00,0,1,9.425,0,0
2023-06-13 04:00:00,0,1,9.425,0,0
2023-06-13 04:00:00,0,1,7.3,0,0
2023-06-13 04:00:00,0,1,5.47,0,0
2023-06-13 05:00:00,0,1,5.47,0,0
2023-06-13 05:00:00,0,1,7.3,0,0
2023-06-13 05:00:00,0,1,9.425,0,0
2023-06-13 06:00:00,0,1,5.47,0,0
2023-06-13 06:00:00,0,1,7.3,0,0
2023-06-13 06:00:00,0,1,9.425,0,0
2023-06-13 07:00:00,0,1,9.425,1,0
2023-06-13 07:00:00,0,1,5.47,1,0
2023-06-13 07:00:00,0,1,7.3,1,0
2023-06-13 08:00:00,0,1,9.425,1,0
2023-06-13 08:00:00,0,1,5.47,1,0
2023-06-13 08:00:00,0,1,7.3,1,0
2023-06-13 09:00:00,0,1,7.3,1,0
2023-06-13 09:00:00,0,1,5.47,1,0
2023-06-13 09:00:00,0,1,9.425,1,0
2023-06-13 10:00:00,0,1,9.425,1,0
2023-06-13 10:00:00,0,1,5.47,1,0
2023-06-13 10:00:00,0,1,7.3,1,0
2023-06-13 11:00:00,0,1,7.3,1,0
2023-06-13 11:00:00,0,1,5.47,1,0
2023-06-13 11:00:00,0,1,9.425,1,0
2023-06-13 12:00:00,0,1,5.47,0,0
2023-06-13 12:00:00,0,1,7.3,0,0
2023-06-13 12:00:00,0,1,9.425,0,0
2023-06-13 13:00:00,0,1,7.3,0,0
2023-06-13 13:00:00,0,1,5.47,0,0
2023-06-13 13:00:00,0,1,9.425,0,0
2023-06-13 14:00:00,0,1,5.47,0,0
2023-06-13 14:00:00,0,1,9.425,0,0
2023-06-13 14:00:00,0,1,7.3,0,0
2023-06-13 15:00:00,0,1,9.425,0,0
2023-06-13 15:00:00,0,1,7.3,0,0
2023-06-13 15:00:00,0,1,5.47,0,0
2023-06-13 16:00:00,0,1,5.47,0,0
2023-06-13 16:00:00,0,1,9.425,0,0
2023-06-13 16:00:00,0,1,7.3,0,0
2023-06-13 17:00:00,0,1,7.3,0,0
2023-06-13 17:00:00,0,1,5.47,0,0
2023-06-13 17:00:00,0,1,9.425,0,0
2023-06-13 18:00:00,0,1,7.3,0,0
2023-06-13 18:00:00,0,1,5.47,0,0
2023-06-13 18:00:00,0,1,9.425,0,0
2023-06-13 19:00:00,0,1,5.47,0,0
2023-06-13 19:00:00,0,1,7.3,0,0
2023-06-13 19:00:00,0,1,9.425,0,0
2023-06-13 20:00:00,0,1,9.425,0,0
2023-06-13 20:00:00,0,1,7.3,0,0
2023-06-13 20:00:00,0,1,5.47,0,0
2023-06-13 21:00:00,0,1,5.47,0,0
2023-06-13 21:00:00,0,1,9.425,0,0
2023-06-13 21:00:00,0,1,7.3,0,0
2023-06-13 22:00:00,0,1,7.3,0,0
2023-06-13 22:00:00,0,1,9.425,0,0
2023-06-13 22:00:00,0,1,5.47,0,0
2023-06-13 23:00:00,0,1,7.3,0,0
